Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,55.8,43.3,Clinton +12.5
RCP Average,5/26 - 6/3,--,--,47.7,45.7,Clinton +2.0
CBS News/YouGovCBS News/YouGov,5/31 - 6/3,674 LV,5.0,49,47,Clinton +2
NBC/WSJ/MaristNBC/WSJ/Marist,5/29 - 5/31,557 LV,4.2,49,47,Clinton +2
FieldField,5/26 - 5/31,571 LV,4.1,45,43,Clinton +2
LA Times/USCLA Times/USC,5/19 - 5/31,421 LV,5.0,49,39,Clinton +10
KABC/SurveyUSAKABC/SurveyUSA,5/19 - 5/22,803 LV,3.5,57,39,Clinton +18
PPICPPIC,5/13 - 5/22,552 LV,5.7,46,44,Clinton +2
Hoover/Golden State PollHoover/Golden State Poll,5/4 - 5/16,694 LV,--,51,38,Clinton +13
KABC/SurveyUSAKABC/SurveyUSA,4/27 - 4/30,826 LV,3.4,57,38,Clinton +19
FOX NewsFOX News,4/18 - 4/21,623 LV,4.0,48,46,Clinton +2
CBS News/YouGovCBS News/YouGov,4/13 - 4/15,1124 LV,4.5,52,40,Clinton +12
GravisGravis,4/7 - 4/10,846 LV,3.4,47,41,Clinton +6
FieldField,3/24 - 4/4,584 LV,4.0,47,41,Clinton +6
SurveyUSASurveyUSA,3/30 - 4/3,767 LV,3.6,53,39,Clinton +14
LA Times/USCLA Times/USC,3/16 - 3/23,LV,--,47,36,Clinton +11
PPICPPIC,3/6 - 3/15,529 LV,6.2,48,41,Clinton +7
FieldField,12/16 - 1/3,329 LV,5.6,46,35,Clinton +11
FieldField,9/17 - 10/4,391 LV,5.0,40,31,Clinton +9
LA Times/USCLA Times/USC,8/29 - 9/8,819 RV,3.6,39,23,Clinton +16
FieldField,4/23 - 5/16,356 LV,5.5,53,5,Clinton +40
FieldField,1/26 - 2/16,425 LV,--,59,6,Clinton +42
