Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,64.5,33.3,Clinton +31.2
RCP Average,3/7 - 3/13,--,--,60.7,31.8,Clinton +28.9
QuinnipiacQuinnipiac,3/8 - 3/13,519 LV,4.3,60,34,Clinton +26
ARGARG,3/11 - 3/13,400 LV,5.0,58,37,Clinton +21
PPP (D)*PPP (D)*,3/11 - 3/12,627 LV,3.9,57,32,Clinton +25
CBS News/YouGovCBS/YouGov,3/9 - 3/11,796 LV,4.5,62,34,Clinton +28
Florida Atlantic UniversityFAU,3/8 - 3/11,414 LV,5.0,59,31,Clinton +28
WTSP/Mason-DixonWTSP,3/7 - 3/9,500 LV,4.5,68,23,Clinton +45
NBC/WSJ/MaristNBC/WSJ,3/4 - 3/10,500 LV,4.4,61,34,Clinton +27
News 13/SurveyUSASurveyUSA,3/4 - 3/6,823 LV,3.4,61,30,Clinton +31
QuinnipiacQuinnipiac,3/2 - 3/7,511 LV,4.3,62,32,Clinton +30
CNN/ORCCNN/ORC,3/2 - 3/6,264 LV,6.0,61,34,Clinton +27
Wash Post/UnivisionWash Post,3/2 - 3/5,449 LV,6.0,64,26,Clinton +38
UNFUNF,2/22 - 2/27,685 LV,3.7,54,24,Clinton +30
PPP (D)PPP (D),2/24 - 2/25,388 LV,5.0,57,32,Clinton +25
GravisGravis,2/24 - 2/24,514 LV,4.3,58,42,Clinton +16
QuinnipiacQuinnipiac,2/21 - 2/24,476 LV,4.5,59,33,Clinton +26
Florida Atlantic UniversityFAU,1/15 - 1/18,383 LV,4.9,62,26,Clinton +36
Florida Atlantic UniversityFAU,11/15 - 11/16,297 LV,5.6,66,22,Clinton +44
News 13/SurveyUSASurveyUSA,10/28 - 11/1,922 LV,--,66,24,Clinton +42
UNFUNF,10/14 - 10/19,632 RV,3.9,55,16,Clinton +39
QuinnipiacQuinnipiac,9/25 - 10/5,411 RV,4.8,43,19,Clinton +24
PPP (D)PPP (D),9/11 - 9/13,377 RV,5.1,55,18,Clinton +37
Gravis MarketingGravis,9/5 - 9/11,693 RV,4.0,42,13,Clinton +21
Florida Times-UnionFL Times,9/2 - 9/2,419 LV,4.7,52,20,Clinton +32
QuinnipiacQuinnipiac,8/7 - 8/18,345 RV,5.3,48,15,Clinton +33
Mason-DixonMason-Dixon,7/20 - 7/23,500 RV,4.5,58,17,Clinton +41
Gravis MarketingGravis,6/16 - 6/20,881 RV,3.0,65,21,Clinton +44
QuinnipiacQuinnipiac,6/4 - 6/15,378 RV,5.0,64,8,Clinton +55
QuinnipiacQuinnipiac,3/17 - 3/28,344 RV,5.3,65,3,Clinton +54
PPP (D)PPP (D),3/19 - 3/22,371 RV,5.1,58,3,Clinton +44
Gravis MarketingGravis,2/24 - 2/25,435 RV,5.0,52,--,Clinton +38
QuinnipiacQuinnipiac,1/22 - 2/1,322 RV,5.5,61,2,Clinton +50
QuinnipiacQuinnipiac,7/17 - 7/21,457 RV,4.6,67,--,Clinton +59
PPP (D)PPP (D),6/6 - 6/9,251 RV,6.2,66,--,Clinton +58
QuinnipiacQuinnipiac,4/23 - 4/28,501 RV,4.4,64,--,Clinton +53
QuinnipiacQuinnipiac,1/22 - 1/27,529 RV,4.3,64,--,Clinton +55
QuinnipiacQuinnipiac,11/12 - 11/17,544 RV,4.2,70,--,Clinton +61
PPP (D)PPP (D),3/15 - 3/18,300 RV,5.7,62,--,Clinton +50
PPP (D)PPP (D),1/11 - 1/13,401 RV,4.9,65,--,Clinton +50
