Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,71.2,28.3,Clinton +42.9
RCP Average,2/18 - 2/28,--,--,65.8,28.8,Clinton +37.0
WSB-TV/LandmarkWSB-TV/Landmark,2/28 - 2/28,800 LV,3.5,70,23,Clinton +47
CBS News/YouGovCBS News/YouGov,2/22 - 2/26,492 LV,8.6,63,35,Clinton +28
WSB-TV/LandmarkWSB-TV/Landmark,2/26 - 2/26,800 LV,3.5,68,22,Clinton +46
TEGNA/SurveyUSATEGNA/SurveyUSA,2/22 - 2/23,501 LV,4.2,66,27,Clinton +39
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,2/18 - 2/23,461 LV,4.6,64,30,Clinton +34
FOX 5 AtlantaFOX 5 Atlanta,2/22 - 2/23,491 LV,4.4,57,29,Clinton +28
WSB-TV/LandmarkWSB-TV/Landmark,2/21 - 2/21,700 LV,3.7,72,20,Clinton +52
PPP (D)*PPP (D)*,2/14 - 2/16,500 LV,4.4,60,26,Clinton +34
WSB-TV/LandmarkWSB-TV/Landmark,2/4 - 2/4,500 LV,4.4,63,22,Clinton +41
WXIA-TV/SurveyUSAWXIA-TV/SurveyUSA,10/15 - 10/26,481 LV,4.0,73,16,Clinton +57
FOX 5/Morris NewsFOX 5/Morris News,9/1 - 9/1,413 LV,4.8,51,24,Clinton +27
WSB/LandmarkWSB/Landmark,8/5 - 8/5,600 RV,4.0,56,11,Clinton +38
