Poll,Date,Sample,MoE,Clinton,Sanders,O'Malley,Spread
Final Results,--,--,--,49.8,49.6,0.5,Clinton +0.2
RCP Average,1/21 - 1/31,--,--,47.9,43.9,4.3,Clinton +4.0
EmersonEmerson,1/29 - 1/31,300 LV,5.6,51,43,4,Clinton +8
QuinnipiacQuinnipiac,1/25 - 1/31,919 LV,5.9,46,49,3,Sanders +3
DM Register/BloombergDM Register,1/26 - 1/29,602 LV,4.0,45,42,3,Clinton +3
NBC/WSJ/MaristNBC/WSJ,1/24 - 1/26,426 LV,4.7,48,45,3,Clinton +3
PPP (D)PPP (D),1/26 - 1/27,851 LV,3.4,48,40,7,Clinton +8
GravisGravis,1/26 - 1/27,810 LV,3.0,53,42,5,Clinton +11
MonmouthMonmouth,1/23 - 1/26,504 LV,4.4,47,42,6,Clinton +5
ARGARG,1/21 - 1/24,400 LV,5.0,45,48,3,Sanders +3
QuinnipiacQuinnipiac,1/18 - 1/24,606 LV,4.0,45,49,4,Sanders +4
FOX NewsFOX News,1/18 - 1/21,432 LV,4.5,48,42,3,Clinton +6
CBS News/YouGovCBS/YouGov,1/18 - 1/21,490 LV,8.9,46,47,5,Sanders +1
EmersonEmerson,1/18 - 1/20,271 LV,5.9,52,43,3,Clinton +9
KBURKBUR,1/18 - 1/19,570 LV,4.1,48,39,7,Clinton +9
CNN/ORCCNN/ORC,1/15 - 1/20,280 LV,6.0,43,51,4,Sanders +8
Loras CollegeLoras,1/13 - 1/18,500 LV,3.1,59,30,7,Clinton +29
Iowa St. Univ./WHO-TVISU/WHO-TV,1/5 - 1/22,518 LV,--,47,45,1,Clinton +2
GravisGravis,1/11 - 1/12,461 LV,5.0,57,36,7,Clinton +21
PPP (D)PPP (D),1/8 - 1/10,580 LV,4.1,46,40,8,Clinton +6
DM Register/BloombergDM Register,1/7 - 1/10,503 LV,4.4,42,40,4,Clinton +2
ARGARG,1/6 - 1/10,400 LV,5.0,44,47,3,Sanders +3
QuinnipiacQuinnipiac,1/5 - 1/10,492 LV,4.4,44,49,4,Sanders +5
NBC/WSJ/MaristNBC/WSJ,1/2 - 1/7,422 LV,4.8,48,45,5,Clinton +3
GravisGravis,12/18 - 12/21,418 LV,5.0,49,31,10,Clinton +18
CBS News/YouGovCBS/YouGov,12/14 - 12/17,459 LV,8.6,50,45,4,Clinton +5
PPP (D)PPP (D),12/10 - 12/13,526 LV,4.3,52,34,7,Clinton +18
Des Moines RegisterDM Register,12/7 - 12/10,404 LV,4.9,48,39,4,Clinton +9
FOX NewsFOX News,12/7 - 12/10,357 LV,5.0,50,36,5,Clinton +14
Loras CollegeLoras,12/7 - 12/10,501 LV,4.4,59,27,4,Clinton +32
QuinnipiacQuinnipiac,12/4 - 12/13,727 LV,3.6,51,40,6,Clinton +11
MonmouthMonmouth,12/3 - 12/6,405 LV,4.9,55,33,6,Clinton +22
CNN/ORCCNN/ORC,11/28 - 12/6,442 LV,4.5,54,36,4,Clinton +18
QuinnipiacQuinnipiac,11/16 - 11/22,543 LV,4.2,51,42,4,Clinton +9
CBS News/YouGovCBS/YouGov,11/15 - 11/19,602 LV,7.6,50,44,5,Clinton +6
