Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,63.0,33.3,Clinton +29.7
RCP Average,4/5 - 4/20,--,--,57.7,33.7,Clinton +24.0
MonmouthMonmouth,4/18 - 4/20,300 LV,5.7,57,32,Clinton +25
PPP (D)PPP (D),4/15 - 4/17,492 LV,4.4,58,33,Clinton +25
NBC 4/MaristNBC 4/Marist,4/5 - 4/9,775 LV,3.5,58,36,Clinton +22
Wash Post/Univ. of MarylandWash Post,3/30 - 4/3,539 LV,5.5,55,40,Clinton +15
Baltimore Sun/Univ. of BaltimoreBalt. Sun,3/4 - 3/8,400 LV,4.9,61,28,Clinton +33
Gonzales ResearchGonzales Research,2/29 - 3/4,411 LV,5.0,57,26,Clinton +31
Goucher CollegeGoucher,2/13 - 2/18,307 RV,5.6,58,28,Clinton +30
Gonzales ResearchGonzales Research,1/11 - 1/16,402 LV,5.0,40,27,Clinton +13
Wash Post/Univ. of MarylandWash Post,10/8 - 10/11,490 RV,5.0,43,20,Clinton +17
Goucher CollegeGoucher,9/26 - 10/1,739 RV,3.6,43,17,Clinton +20
Washington PostWash Post,10/2 - 10/5,RV,--,63,3,Clinton +54
Washington PostWash Post,2/13 - 2/16,RV,--,72,--,Clinton +64
Baltimore SunBalt. Sun,2/8 - 2/12,500 LV,4.4,59,--,Clinton +45
