Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,48.3,49.8,Sanders +1.5
RCP Average,3/3 - 3/7,--,--,58.7,37.3,Clinton +21.4
FOX 2 Detroit/MitchellFOX 2,3/7 - 3/7,482 LV,4.5,61,34,Clinton +27
FOX 2 Detroit/MitchellFOX 2,3/6 - 3/6,475 LV,4.5,66,29,Clinton +37
ARGARG,3/4 - 3/5,400 LV,5.0,60,36,Clinton +24
MonmouthMonmouth,3/3 - 3/6,302 LV,5.6,55,42,Clinton +13
CBS News/YouGovCBS/YouGov,3/2 - 3/4,597 LV,7.7,55,44,Clinton +11
NBC/WSJ/MaristNBC/WSJ,3/1 - 3/3,546 LV,4.2,57,40,Clinton +17
FOX 2 Detroit/MitchellFOX 2,3/1 - 3/1,427 LV,4.7,61,33,Clinton +28
MRGMRG,2/22 - 2/27,218 LV,--,56,36,Clinton +20
FOX 2 Detroit/MitchellFOX 2,2/23 - 2/23,344 LV,5.3,65,31,Clinton +34
ARGARG,2/19 - 2/20,400 LV,5.0,53,40,Clinton +13
FOX 2 Detroit/MitchellFOX 2,2/15 - 2/15,430 LV,4.7,60,27,Clinton +33
PPP (D)*PPP (D)*,2/14 - 2/16,500 LV,4.4,50,40,Clinton +10
FOX 2 Detroit/MitchellFOX 2,2/4 - 2/4,321 LV,5.5,57,28,Clinton +29
IMP/Target InsyghtInside MI Politics,2/2 - 2/4,400 LV,5.0,62,30,Clinton +32
FOX 2 Detroit/MitchellFOX 2,1/25 - 1/25,344 LV,5.3,61,34,Clinton +27
FOX 2 Detroit/MitchellFOX 2,9/18 - 9/18,538 LV,4.2,35,22,Clinton +7
MRGMRG,9/9 - 9/14,600 LV,4.0,41,22,Clinton +19
PPP (D)PPP (D),6/25 - 6/28,431 RV,4.7,57,25,Clinton +32
