Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,54.6,40.8,Clinton +13.8
RCP Average,3/3 - 3/13,--,--,57.0,33.0,Clinton +24.0
PPP (D)*PPP (D)*,3/11 - 3/13,747 LV,3.6,56,37,Clinton +19
High Point/SurveyUSAHigh Point/SurveyUSA,3/9 - 3/10,669 LV,3.8,58,34,Clinton +24
Civitas (R)Civitas (R),3/3 - 3/7,500 LV,4.4,57,28,Clinton +29
WRAL-TV/SurveyUSAWRAL/SUSA,3/4 - 3/7,687 LV,3.8,57,34,Clinton +23
Elon UniversityElon,2/15 - 2/17,728 LV,3.6,47,37,Clinton +10
SurveyUSASUSA,2/14 - 2/16,449 LV,4.7,51,36,Clinton +15
PPP (D)PPP (D),2/14 - 2/16,575 LV,4.1,52,35,Clinton +17
High Point UniversityHigh Point,1/30 - 2/4,478 LV,4.5,55,29,Clinton +26
PPP (D)PPP (D),1/18 - 1/19,461 LV,4.6,59,26,Clinton +33
Civitas (R)Civitas (R),1/13 - 1/16,500 LV,4.4,53,28,Clinton +25
PPP (D)PPP (D),12/5 - 12/7,555 RV,4.2,60,21,Clinton +39
Elon UniversityElon,10/29 - 11/2,514 RV,4.3,57,24,Clinton +33
PPP (D)PPP (D),10/23 - 10/25,425 RV,4.8,61,24,Clinton +37
PPP (D)PPP (D),9/25 - 9/28,605 RV,4.0,37,17,Clinton +7
Elon UniversityElon,9/17 - 9/21,427 RV,4.7,53,23,Clinton +30
PPP (D)PPP (D),8/12 - 8/16,477 RV,4.5,55,19,Clinton +36
PPP (D)PPP (D),7/2 - 7/6,286 RV,5.8,55,20,Clinton +35
PPP (D)PPP (D),5/28 - 5/31,274 RV,5.9,62,14,Clinton +48
Gravis MarketingGravis,4/30 - 4/30,524 RV,4.0,61,5,Clinton +51
PPP (D)PPP (D),4/2 - 4/5,370 RV,5.1,53,2,Clinton +40
SurveyUSA/Civitas (R)SurveyUSA/Civitas (R),3/20 - 3/23,400 LV,5.0,53,5,Clinton +34
PPP (D)PPP (D),2/24 - 2/26,401 RV,4.9,56,1,Clinton +43
PPP (D)PPP (D),1/29 - 1/31,385 RV,5.0,54,3,Clinton +36
PPP (D)PPP (D),12/4 - 12/7,381 RV,5.0,52,5,Clinton +34
USA Today/SuffolkUSA Today,8/16 - 8/19,254 LV,--,57,--,Clinton +42
Civitas (R)Civitas (R),7/28 - 7/29,390 RV,--,40,2,Clinton +28
