Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,63.3,36.7,Clinton +26.6
RCP Average,5/10 - 6/3,--,--,57.5,37.0,Clinton +20.5
CBS News/YouGovCBS/YouGov,5/31 - 6/3,586 LV,5.4,61,34,Clinton +27
QuinnipiacQuinnipiac,5/10 - 5/16,696 LV,3.7,54,40,Clinton +14
MonmouthMonmouth,5/1 - 5/3,301 LV,5.7,60,32,Clinton +28
RutgersRutgers,4/1 - 4/8,292 RV,6.3,51,42,Clinton +9
Eagleton InstituteEagleton Institute,2/6 - 2/15,304 RV,6.2,55,32,Clinton +23
Fairleigh DickinsonFDU,11/9 - 11/15,384 RV,5.0,64,27,Clinton +37
QuinnipiacQuinnipiac,11/4 - 11/8,538 RV,4.2,56,23,Clinton +33
Fairleigh DickinsonFDU,6/15 - 6/21,345 RV,5.5,63,15,Clinton +48
