Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,52.7,47.2,Clinton +5.5
RCP Average,2/8 - 2/15,--,--,48.7,46.3,Clinton +2.4
GravisGravis,2/14 - 2/15,516 LV,4.0,53,47,Clinton +6
CNN/ORCCNN/ORC,2/10 - 2/15,282 LV,6.5,48,47,Clinton +1
TargetPoint (R)TargetPoint (R),2/8 - 2/10,1236 LV,2.9,45,45,Tie
GravisGravis,12/23 - 12/27,326 LV,5.0,50,27,Clinton +23
CNN/ORCCNN/ORC,10/3 - 10/10,253 LV,6.0,50,34,Clinton +16
Gravis MarketingGravis,7/12 - 7/13,416 RV,5.0,55,18,Clinton +37
Gravis MarketingGravis,3/27 - 3/27,319 RV,6.0,61,7,Clinton +46
Gravis MarketingGravis,2/21 - 2/22,324 RV,6.0,58,4,Clinton +38
