Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,58.0,42.0,Clinton +16.0
RCP Average,4/6 - 4/17,--,--,53.1,41.4,Clinton +11.7
EmersonEmerson,4/15 - 4/17,438 LV,4.6,55,40,Clinton +15
CBS News/YouGovCBS/YouGov,4/13 - 4/15,1033 LV,4.4,53,43,Clinton +10
GravisGravis,4/13 - 4/13,481 LV,4.5,53,47,Clinton +6
NBC 4 NY/WSJ/MaristNBC 4/WSJ/Marist,4/10 - 4/13,591 LV,4.0,57,40,Clinton +17
MonmouthMonmouth,4/8 - 4/10,302 LV,5.6,51,39,Clinton +12
PPP (D)PPP (D),4/7 - 4/10,663 LV,3.8,51,40,Clinton +11
SienaSiena,4/6 - 4/11,538 LV,4.5,52,42,Clinton +10
QuinnipiacQuinnipiac,4/6 - 4/11,860 LV,3.3,53,40,Clinton +13
NBC/WSJ/MaristNBC/WSJ,4/6 - 4/10,557 LV,4.2,55,41,Clinton +14
NY1/BaruchNY1/Baruch,4/5 - 4/10,632 LV,4.2,50,37,Clinton +13
EmersonEmerson,4/6 - 4/7,325 LV,5.4,56,38,Clinton +18
FOX NewsFOX News,4/4 - 4/7,801 LV,3.5,53,37,Clinton +16
GravisGravis,4/5 - 4/6,1134 LV,2.9,53,47,Clinton +6
CBS News/YouGovCBS/YouGov,3/29 - 4/1,718 LV,5.0,53,43,Clinton +10
QuinnipiacQuinnipiac,3/22 - 3/29,693 LV,3.7,54,42,Clinton +12
EmersonEmerson,3/14 - 3/16,298 LV,5.6,71,23,Clinton +48
SienaSiena,2/28 - 3/3,368 RV,6.2,55,34,Clinton +21
SienaSiena,1/31 - 2/3,434 RV,5.6,55,34,Clinton +21
QuinnipiacQuinnipiac,5/28 - 6/1,508 RV,4.4,55,15,Clinton +40
