Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,56.5,42.7,Clinton +13.8
RCP Average,3/8 - 3/13,--,--,51.0,43.0,Clinton +8.0
ARGARG,3/12 - 3/13,400 LV,5.0,52,45,Clinton +7
MonmouthMonmouth,3/11 - 3/13,302 LV,5.6,54,40,Clinton +14
PPP (D)*PPP (D)*,3/11 - 3/13,502 LV,4.4,46,41,Clinton +5
QuinnipiacQuinnipiac,3/8 - 3/13,543 LV,4.2,51,46,Clinton +5
CBS News/YouGovCBS/YouGov,3/9 - 3/11,777 LV,5.3,52,43,Clinton +9
NBC/WSJ/MaristNBC/WSJ,3/4 - 3/10,453 LV,4.6,58,38,Clinton +20
CNN/ORCCNN/ORC,3/2 - 3/6,294 LV,5.5,63,33,Clinton +30
PPP (D)PPP (D),3/4 - 3/6,508 LV,4.4,56,35,Clinton +21
QuinnipiacQuinnipiac,3/2 - 3/7,521 LV,4.3,52,43,Clinton +9
QuinnipiacQuinnipiac,2/16 - 2/20,518 LV,4.3,55,40,Clinton +15
QuinnipiacQuinnipiac,9/25 - 10/5,396 RV,4.9,40,19,Clinton +19
QuinnipiacQuinnipiac,8/7 - 8/18,353 RV,5.2,47,17,Clinton +30
QuinnipiacQuinnipiac,6/4 - 6/15,388 RV,5.0,60,10,Clinton +47
PPP (D)PPP (D),6/4 - 6/7,360 RV,5.2,61,13,Clinton +48
QuinnipiacQuinnipiac,3/17 - 3/28,324 RV,5.4,54,3,Clinton +40
QuinnipiacQuinnipiac,1/22 - 2/1,315 RV,5.5,51,5,Clinton +37
