Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,55.6,43.6,Clinton +12.0
RCP Average,4/11 - 4/24,--,--,54.3,38.3,Clinton +16.0
FOX 29/Opinion SavvyFOX 29,4/22 - 4/24,942 LV,3.2,52,41,Clinton +11
PPP (D)*PPP (D)*,4/22 - 4/24,728 LV,3.6,51,41,Clinton +10
Harper (R)Harper (R),4/21 - 4/23,641 LV,3.9,61,33,Clinton +28
CBS News/YouGovCBS/YouGov,4/20 - 4/22,831 LV,6.7,51,43,Clinton +8
NBC/WSJ/MaristNBC/WSJ,4/18 - 4/20,734 LV,3.6,55,40,Clinton +15
MonmouthMonmouth,4/17 - 4/19,302 LV,5.6,52,39,Clinton +13
Franklin & MarshallF&M,4/11 - 4/18,LV,5.3,58,31,Clinton +27
FOX NewsFOX News,4/4 - 4/7,805 LV,3.5,49,38,Clinton +11
QuinnipiacQuinnipiac,3/30 - 4/4,514 LV,4.3,50,44,Clinton +6
Harper (R)Harper (R),4/2 - 4/3,603 LV,4.0,55,33,Clinton +22
Franklin & MarshallF&M,3/14 - 3/20,408 RV,4.7,53,28,Clinton +25
Harper (R)Harper (R),3/1 - 3/2,347 LV,5.3,57,27,Clinton +30
Franklin & MarshallF&M,2/13 - 2/21,295 LV,5.7,51,29,Clinton +22
Harper (R)Harper (R),1/22 - 1/23,640 LV,3.8,55,28,Clinton +27
Franklin & MarshallF&M,1/18 - 1/23,361 RV,--,46,29,Clinton +17
Franklin & MarshallF&M,10/19 - 10/25,303 RV,--,52,18,Clinton +34
PPP (D)PPP (D),10/8 - 10/11,479 RV,4.5,40,22,Clinton +18
QuinnipiacQuinnipiac,9/25 - 10/5,442 RV,4.7,36,19,Clinton +11
QuinnipiacQuinnipiac,8/7 - 8/18,462 RV,4.6,45,19,Clinton +26
QuinnipiacQuinnipiac,6/4 - 6/15,402 RV,4.9,53,10,Clinton +38
PPP (D)PPP (D),5/21 - 5/24,385 LV,5.0,63,14,Clinton +49
QuinnipiacQuinnipiac,3/17 - 3/28,415 RV,4.8,48,1,Clinton +33
QuinnipiacQuinnipiac,1/22 - 2/1,392 RV,5.0,54,2,Clinton +42
PPP (D)PPP (D),1/15 - 1/18,494 RV,4.4,58,5,Clinton +45
PPP (D)PPP (D),5/30 - 6/1,382 RV,5.0,65,--,Clinton +56
Franklin & MarshallF&M,3/25 - 3/31,524 RV,4.3,55,--,Clinton +50
Franklin & MarshallF&M,2/18 - 2/23,548 RV,4.2,58,--,Clinton +51
PPP (D)PPP (D),11/22 - 11/25,436 RV,4.7,61,--,Clinton +48
