Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,65.2,33.2,Clinton +32.0
RCP Average,2/18 - 2/28,--,--,62.3,32.0,Clinton +30.3
EmersonEmerson,2/26 - 2/28,275 LV,5.9,68,26,Clinton +42
ARGARG,2/26 - 2/28,400 LV,5.0,58,38,Clinton +20
CBS News/YouGovCBS/YouGov,2/22 - 2/26,750 LV,6.9,61,37,Clinton +24
MonmouthMonmouth,2/22 - 2/24,304 LV,5.6,64,30,Clinton +34
KTVT-CBS 11KTVT-CBS 11,2/22 - 2/22,675 LV,3.8,61,29,Clinton +32
TEGNA/SurveyUSATEGNA/SUSA,2/21 - 2/22,569 LV,4.1,61,32,Clinton +29
EmersonEmerson,2/21 - 2/23,328 LV,5.4,56,40,Clinton +16
Austin American-StatesmanStatesman,2/19 - 2/22,411 LV,5.0,66,26,Clinton +40
NBC News/Wall St. JrnlNBC/WSJ,2/18 - 2/23,405 LV,4.9,59,38,Clinton +21
UT/Texas TribuneUT/ TX Tribune,2/12 - 2/19,324 LV,5.4,54,44,Clinton +10
PPP (D)*PPP (D)*,2/14 - 2/16,514 LV,4.3,57,34,Clinton +23
KTVT-CBS 11KTVT-CBS 11,1/25 - 1/26,767 LV,3.5,50,16,Clinton +34
UT/Texas TribuneUT/ TX Tribune,10/30 - 11/8,459 RV,4.6,61,30,Clinton +31
KTVT-CBS 11KTVT-CBS 11,10/23 - 10/24,1008 LV,3.1,59,10,Clinton +49
Texas LyceumTexas Lyceum,9/8 - 9/21,185 RV,7.2,36,24,Clinton +12
UT/Texas TribuneUT/ TX Tribune,6/5 - 6/14,457 RV,4.6,53,15,Clinton +38
UT/Texas TribuneUT/ TX Tribune,2/6 - 2/15,401 RV,4.9,62,5,Clinton +50
UT/Texas TribuneUT/ TX Tribune,10/10 - 10/19,429 RV,4.7,60,--,Clinton +47
UT/Texas TribuneUT/ TX Tribune,5/30 - 6/8,426 RV,4.8,64,--,Clinton +49
UT/Texas TribuneUT/ TX Tribune,10/18 - 10/27,414 RV,4.8,67,--,Clinton +60
UT/Texas TribuneUT/ TX Tribune,5/31 - 6/9,376 A,5.1,66,--,Clinton +55
