Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,64.3,35.2,Clinton +29.1
RCP Average,2/14 - 2/26,--,--,56.3,34.8,Clinton +21.5
CBS News/YouGovCBS/YouGov,2/22 - 2/26,471 LV,9.2,59,39,Clinton +20
MonmouthMonmouth,2/22 - 2/24,302 LV,5.6,60,33,Clinton +27
Roanoke CollegeRoanoke,2/16 - 2/24,415 LV,4.8,50,33,Clinton +17
PPP (D)*PPP (D)*,2/14 - 2/16,500 LV,4.4,56,34,Clinton +22
Christopher Newport Univ.CNU,2/3 - 2/14,286 LV,7.3,52,40,Clinton +12
Univ. of Mary WashingtonUMW,11/4 - 11/9,276 LV,4.3,63,27,Clinton +36
Christopher Newport Univ.CNU,9/29 - 10/8,407 RV,5.1,40,23,Clinton +17
PPP (D)PPP (D),7/13 - 7/15,409 RV,4.9,64,14,Clinton +50
Christopher Newport Univ.CNU,4/13 - 4/24,RV,--,80,2,Clinton +74
Christopher Newport Univ.CNU,1/30 - 2/10,RV,--,65,2,Clinton +55
Christopher Newport Univ.CNU,2/23 - 2/28,391 RV,5.0,66,--,Clinton +47
PPP (D)PPP (D),7/11 - 7/14,357 RV,5.2,51,--,Clinton +37
PPP (D)PPP (D),5/24 - 5/26,421 RV,4.8,56,--,Clinton +42
