Poll,Date,Sample,MoE,Sanders,Clinton,Spread
Final Results,--,--,--,56.6,43.1,Sanders +13.5
RCP Average,3/24 - 4/3,--,--,47.9,45.3,Sanders +2.6
ARGARG,4/1 - 4/3,400 LV,5.0,48,49,Clinton +1
EmersonEmerson,3/30 - 4/3,542 LV,4.2,51,43,Sanders +8
CBS News/YouGovCBS/YouGov,3/29 - 4/1,653 LV,6.1,49,47,Sanders +2
FOX BusinessFOX Business,3/28 - 3/30,860 LV,3.0,48,43,Sanders +5
PPP (D)*PPP (D)*,3/28 - 3/29,720 LV,3.7,49,43,Sanders +6
Loras CollegeLoras,3/28 - 3/29,416 LV,4.8,41,47,Clinton +6
MarquetteMarquette,3/24 - 3/28,405 LV,6.3,49,45,Sanders +4
EmersonEmerson,3/20 - 3/22,439 LV,4.6,44,50,Clinton +6
MarquetteMarquette,2/18 - 2/21,343 LV,6.9,44,43,Sanders +1
MarquetteMarquette,1/21 - 1/24,313 LV,6.5,43,45,Clinton +2
MarquetteMarquette,11/12 - 11/15,374 RV,6.1,41,50,Clinton +9
WPR/St. NorbertWPR,10/14 - 10/17,RV,6.0,42,47,Clinton +5
MarquetteMarquette,9/24 - 9/28,394 RV,5.9,30,42,Clinton +12
MarquetteMarquette,8/13 - 8/16,396 RV,6.1,32,44,Clinton +12
MarquetteMarquette,4/7 - 4/10,391 RV,5.1,--,58,Clinton +44
PPP (D)PPP (D),3/6 - 3/8,504 RV,4.4,5,60,Clinton +46
PPP (D)PPP (D),4/17 - 4/20,579 RV,4.1,--,57,Clinton +49
MarquetteMarquette,10/21 - 10/24,392 RV,--,--,64,Clinton +53
PPP (D)PPP (D),9/13 - 9/16,449 RV,4.6,--,50,Clinton +39
MarquetteMarquette,5/6 - 5/9,333 RV,5.5,--,62,Clinton +49
PPP (D)PPP (D),2/21 - 2/24,708 RV,3.8,--,50,Clinton +39
