Poll,Date,Sample,MoE,Sanders,Clinton,Spread
Final Results,--,--,--,60.4,38.0,Sanders +22.4
RCP Average,2/2 - 2/8,--,--,54.5,41.2,Sanders +13.3
ARGARG,2/7 - 2/8,409 LV,5.0,53,44,Sanders +9
UMass Lowell/7NewsUMass Lowell,2/5 - 2/7,407 LV,5.5,56,40,Sanders +16
CNN/WMURCNN/WMUR,2/4 - 2/8,363 LV,5.1,61,35,Sanders +26
EmersonEmerson,2/4 - 2/7,783 LV,3.7,54,42,Sanders +12
ARG (Tracking)ARG,2/6 - 2/7,408 LV,5.0,53,41,Sanders +12
MonmouthMonmouth,2/4 - 2/6,502 LV,4.4,52,42,Sanders +10
ARG (Tracking)ARG,2/5 - 2/6,408 LV,5.0,53,42,Sanders +11
UMass/7News (Tracking)UMass Lowell,2/4 - 2/6,428 LV,5.4,57,40,Sanders +17
CNN/WMURCNN/WMUR,2/3 - 2/6,406 LV,4.9,58,35,Sanders +23
Boston Herald/FPUBoston Herald,2/2 - 2/6,407 LV,4.9,51,44,Sanders +7
ARG (Tracking)ARG,2/4 - 2/5,405 LV,5.0,53,41,Sanders +12
UMass/7News (Tracking)UMass Lowell,2/3 - 2/5,433 LV,5.2,55,41,Sanders +14
ARG (Tracking)ARG,2/3 - 2/4,409 LV,5.0,54,38,Sanders +16
UMass/7News (Tracking)UMass Lowell,2/2 - 2/4,434 LV,5.2,55,40,Sanders +15
Boston Globe/SuffolkBoston Globe,2/2 - 2/4,500 LV,4.4,50,41,Sanders +9
CNN/WMURCNN/WMUR,2/2 - 2/4,228 LV,6.5,61,30,Sanders +31
WBUR/MassINCWBUR/MassINC,2/2 - 2/4,393 LV,4.9,54,39,Sanders +15
GravisGravis,2/2 - 2/4,702 LV,3.7,58,42,Sanders +16
NBC/WSJ/MaristNBC/WSJ,2/2 - 2/3,567 LV,4.1,58,38,Sanders +20
UMass/7News (Tracking)UMass Lowell,2/1 - 2/3,420 LV,5.3,58,36,Sanders +22
ARG (Tracking)ARG,2/2 - 2/3,410 LV,5.0,54,38,Sanders +16
UMass/7News (Tracking)UMass Lowell,1/31 - 2/2,415 LV,5.4,61,32,Sanders +29
UMass Amherst/WBZUMass Amherst/WBZ,1/29 - 2/2,410 LV,6.6,58,35,Sanders +23
UMass/7News (Tracking)UMass Lowell,1/30 - 2/1,443 LV,5.3,63,30,Sanders +33
ARGARG,1/29 - 1/31,600 LV,4.0,49,43,Sanders +6
UMass/7News (Tracking)UMass Lowell,1/29 - 1/31,442 LV,5.3,61,30,Sanders +31
CNN/WMURCNN/WMUR,1/27 - 1/30,347 LV,5.3,57,34,Sanders +23
Boston Herald/FPUBoston Herald,1/26 - 1/30,409 LV,4.9,57,37,Sanders +20
EmersonEmerson,1/25 - 1/26,350 LV,5.2,52,44,Sanders +8
ARGARG,1/23 - 1/25,600 LV,4.0,49,42,Sanders +7
Boston Herald/FPUBoston Herald,1/20 - 1/24,408 LV,4.9,55,39,Sanders +16
NBC/WSJ/MaristNBC/WSJ,1/17 - 1/23,568 LV,4.1,57,38,Sanders +19
Suffolk UniversitySuffolk,1/19 - 1/21,500 LV,4.4,50,41,Sanders +9
FOX NewsFOX News,1/18 - 1/21,400 LV,5.0,56,34,Sanders +22
CBS News/YouGovCBS/YouGov,1/18 - 1/21,463 LV,8.2,57,38,Sanders +19
ARGARG,1/15 - 1/18,600 LV,4.0,49,43,Sanders +6
GravisGravis,1/15 - 1/18,472 LV,4.5,46,43,Sanders +3
CNN/WMURCNN/WMUR,1/13 - 1/18,420 LV,4.8,60,33,Sanders +27
MonmouthMonmouth,1/7 - 1/10,413 LV,4.8,53,39,Sanders +14
ARGARG,1/7 - 1/10,400 LV,5.0,47,44,Sanders +3
FOX NewsFOX News,1/4 - 1/7,386 LV,5.0,50,37,Sanders +13
PPP (D)PPP (D),1/4 - 1/6,480 LV,4.5,44,47,Clinton +3
NBC/WSJ/MaristNBC/WSJ,1/2 - 1/7,425 LV,4.8,50,46,Sanders +4
ARGARG,12/20 - 12/20,600 LV,4.0,43,46,Clinton +3
CBS News/YouGovCBS/YouGov,12/14 - 12/17,458 LV,7.5,56,42,Sanders +14
Boston HeraldBoston Herald,12/13 - 12/17,410 LV,4.8,48,46,Sanders +2
CNN/WMURCNN/WMUR,11/30 - 12/7,370 LV,5.1,50,40,Sanders +10
PPP (D)PPP (D),11/30 - 12/2,458 RV,4.6,42,44,Clinton +2
CBS News/YouGovCBS/YouGov,11/15 - 11/19,561 LV,6.9,52,45,Sanders +7
